book_name,score,num,picturelink,publisher,publishyear,ISBN,rank
"
        傲慢与偏见
      ",9,30145,https://img1.doubanio.com/view/subject/l/public/s27017338.jpg, 上海译文出版社,1996 ,9787532719112 ,3911 
"
        我的精神家园
      ",9,33362,https://img9.doubanio.com/view/subject/l/public/s1768916.jpg, 生活·读书·新知三联书店,1997 ,9787108010186 ,3433 
"
        历史深处的忧虑
      ",9.1,12798,https://img3.doubanio.com/view/subject/l/public/s1785715.jpg, 机械工业出版社,2003 ,9787111126768 ,3379 
"
        十万个为什么
      ",9.1,9665,https://img1.doubanio.com/view/subject/l/public/s2619779.jpg, 少年儿童出版社,1962 ,9787111126769 ,3368 
"
        象棋的故事
      ",9,7135,https://img3.doubanio.com/view/subject/l/public/s2897060.jpg, 上海译文出版社,2007 ,9787532741601 ,3258 
"
        沉默的大多数
      ",9,13733,https://img9.doubanio.com/view/subject/l/public/s1727466.jpg, 北方文艺出版社,2006 ,9787531719182 ,3254 
"
        嫌疑人X的献身
      ",9,44442,https://img3.doubanio.com/view/subject/l/public/s7049655.jpg, 南海出版公司,2009 ,9787544245555 ,3210 
"
        全本新注聊斋志异全三册
      ",9.1,3151,https://img3.doubanio.com/view/subject/l/public/s2242061.jpg, 人民文学出版社,1989 ,9787020007189 ,3157 
"
        楚辞
      ",9.1,2949,https://img9.doubanio.com/view/subject/l/public/s9846666.jpg, 山西古籍出版社,2003 ,9787805985299 ,3138 
"
        2001太空漫游
      ",9.1,5642,https://img3.doubanio.com/view/subject/l/public/s2798862.jpg, 上海人民出版社,2007 ,9787208074002 ,3082 
"
        你一生的故事
      ",9,6818,https://img9.doubanio.com/view/subject/l/public/s25996026.jpg, 四川科学技术出版社,2005 ,9787536455375 ,3002 
"
        金色梦乡
      ",9,16216,https://img3.doubanio.com/view/subject/l/public/s4444885.jpg, 译林出版社,2010 ,9787544713986 ,2935 
"
        寻路中国
      ",9,37346,https://img1.doubanio.com/view/subject/l/public/s32271209.jpg, 上海译文出版社,2011 ,9787532752805 ,2828 
"
        刀锋
      ",9,45447,https://img3.doubanio.com/view/subject/l/public/s2347562.jpg, 上海译文出版社,2007 ,9787532741922 ,2773 
"
        大师和玛格丽特
      ",9,3509,https://img9.doubanio.com/view/subject/l/public/s2312776.jpg, 人民文学出版社,2004 ,9787020044412 ,2756 
"
        我也有一个梦想
      ",9,12039,https://img3.doubanio.com/view/subject/l/public/s2170315.jpg, 生活·读书·新知三联书店,2004 ,9787108012715 ,2752 
"
        人间词话
      ",9,31486,https://img1.doubanio.com/view/subject/l/public/s9130587.jpg, 上海古籍出版社,1998 ,9787532524808 ,2672 
"
        聖經
      ",9,14406,https://img1.doubanio.com/view/subject/l/public/s1677577.jpg, 中国基督教协会,1996 ,9787532524809 ,2662 
"
        受戒
      ",8.9,57829,https://img3.doubanio.com/view/subject/l/public/s28668834.jpg, 江苏凤凰文艺出版社,2016 ,9787539989891 ,2442 
"
        巨人的陨落
      ",9.1,1117,https://img1.doubanio.com/view/subject/l/public/s28356879.jpg, 广西师范大学出版社,2015 ,9787549573806 ,2442 
"
        独裁者手册
      ",8.8,4531,https://img9.doubanio.com/view/subject/l/public/s27293486.jpg, 江苏文艺出版社,2014 ,9787539973470 ,2388 
"
        海洋帝国
      ",9,2778,https://img1.doubanio.com/view/subject/l/public/s28342679.jpg, 社会科学文献出版社·甲骨文,2014 ,9787509744208 ,2323 
"
        灯塔
      ",9.1,6669,https://img1.doubanio.com/view/subject/l/public/s28369978.jpg, 北京联合出版公司·后浪出版公司,2016 ,9787550268388 ,2271 
"
        万水千山走遍
      ",9,5904,https://img1.doubanio.com/view/subject/l/public/s3752378.jpg, 北京十月文艺出版社,2009 ,9787530209776 ,2204 
"
        金枝
      ",9,1660,https://img3.doubanio.com/view/subject/l/public/s3559585.jpg, 大众文艺出版社,1998 ,9787800941818 ,2138 
"
        魔戒
      ",9.5,3035,https://img1.doubanio.com/view/subject/l/public/s27063429.jpg, 上海人民出版社,2013 ,9787208113039 ,2136 
"
        斐多
      ",9,2225,https://img3.doubanio.com/view/subject/l/public/s29923640.jpg, 生活·读书·新知三联书店,2011 ,9787108036001 ,1996 
"
        韦伯作品集Ⅻ:新教伦理与资本主义精神
      ",9.1,1217,https://img3.doubanio.com/view/subject/l/public/s2610504.jpg, 广西师范大学出版社,2007 ,9787563365326 ,1991 
"
        孤城闭
      ",9,2034,https://img3.doubanio.com/view/subject/l/public/s3989464.jpg, 新世界出版社,2009 ,9787510404429 ,1973 
"
        传习录
      ",9.3,2036,https://img3.doubanio.com/view/subject/l/public/s3451090.jpg, 中州古籍出版社,2008 ,9787534828379 ,1906 
"
        C Primer Plus
      ",9.1,1782,https://img3.doubanio.com/view/subject/l/public/s1308874.jpg, 人民邮电出版社,2005 ,9787115130228 ,1745 
"
        万历十五年增订本
      ",9.1,18125,https://img3.doubanio.com/view/subject/l/public/s3670063.jpg, 中华书局,2007 ,9787101054491 ,1722 
"
        论法的精神上
      ",9,1449,https://img3.doubanio.com/view/subject/l/public/s1011423.jpg, 商务印书馆,1961 ,9787100005685 ,1677 
"
        江村经济
      ",9.4,3972,https://img1.doubanio.com/view/subject/l/public/s5770588.jpg, 宇河文化,2011 ,9789576598494 ,1617 
"
        快乐王子
      ",9.1,2534,https://img3.doubanio.com/view/subject/l/public/s4355770.jpg, 上海文艺出版社,2012 ,9787532144884 ,1559 
"
        羊道·深山夏牧场
      ",9.2,6823,https://img3.doubanio.com/view/subject/l/public/s11337793.jpg, 上海文艺出版社,2007 ,9787532132256 ,1517 
